Date,Open,High,Low,Close,Adj Close,Volume
2010-04-01,1290.585815,1327.459717,1278.294556,1290.585815,822.345825,161531001
2010-04-05,1302.877197,1315.168457,1290.585815,1302.877197,830.177856,90633257
2010-04-06,1302.877197,1315.168457,1266.003296,1302.877197,830.177856,120282292
2010-04-07,1290.585815,1327.459717,1278.294556,1290.585815,822.345825,104185533
2010-04-08,1241.420654,1290.585815,1229.129395,1241.420654,791.018433,140048315
2010-04-09,1241.420654,1266.003296,1216.838135,1241.420654,791.018433,178945766
2010-04-12,1302.877197,1302.877197,1253.711914,1302.877197,830.177856,182920124
2010-04-13,1290.585815,1302.877197,1266.003296,1290.585815,822.345825,83937461
2010-04-14,1290.585815,1302.877197,1278.294556,1290.585815,822.345825,81470267
2010-04-15,1290.585815,1302.877197,1278.294556,1290.585815,822.345825,62497488
2010-04-16,1253.711914,1290.585815,1241.420654,1253.711914,798.850159,86819582
2010-04-19,1253.711914,1253.711914,1222.983765,1253.711914,798.850159,62243243
2010-04-20,1278.294556,1278.294556,1229.129395,1278.294556,814.514038,208897861
2010-04-21,1315.168457,1327.459717,1266.003296,1315.168457,838.009766,265340251
2010-04-22,1315.168457,1315.168457,1290.585815,1315.168457,838.009766,103866201
2010-04-23,1302.877197,1315.168457,1290.585815,1302.877197,830.177856,65432493
2010-04-26,1290.585815,1315.168457,1278.294556,1290.585815,822.345825,130022926
2010-04-27,1302.877197,1315.168457,1278.294556,1302.877197,830.177856,83003873
2010-04-28,1302.877197,1302.877197,1266.003296,1302.877197,830.177856,107631061
2010-04-29,1364.333618,1364.333618,1302.877197,1364.333618,869.337158,283019432
2010-04-30,1425.790039,1425.790039,1352.042358,1425.790039,908.496338,267758630
2010-05-03,1413.498779,1438.081421,1388.916260,1413.498779,900.664490,84417475
2010-05-04,1401.207520,1438.081421,1388.916260,1401.207520,892.832703,113675990
2010-05-05,1302.877197,1376.624878,1278.294556,1302.877197,830.177856,215555012
2010-05-06,1302.877197,1339.750977,1253.711914,1302.877197,830.177856,228314043
2010-05-07,1266.003296,1278.294556,1241.420654,1266.003296,806.682251,256010477
2010-05-10,1278.294556,1339.750977,1266.003296,1339.750977,853.673401,163461229
2010-05-11,1278.294556,1352.042358,1266.003296,1278.294556,814.514038,104382827
2010-05-12,1302.877197,1315.168457,1266.003296,1302.877197,830.177856,126542821
2010-05-14,1327.459717,1339.750977,1290.585815,1327.459717,845.841370,72423213
